ID,Source,TMC,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Number,Street,Side,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight,random
A-17088,MapQuest,201,2,11/16/2016 13:35,11/16/2016 14:04,37.699444,-122.053902,,,0.01,Accident on Crow Canyon Rd at Beacon Hill Dr.,4701,Beacon Hill Dr,R,Castro Valley,Alameda,CA,94552-3704,US,US/Pacific,KHWD,11/16/2016 13:54,61,,44,30.08,10,West,16.1,,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day,0.515640419
A-32403,MapQuest,201,2,3/31/2016 17:34,3/31/2016 18:19,37.786705,-122.19603,,,0,Accident on High St at Redding St.,,High St,R,Oakland,Alameda,CA,94619,US,US/Pacific,KOAK,3/31/2016 17:53,61,,64,30.12,10,West,25.3,,Partly Cloudy,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Day,Day,Day,Day,0.963077214
A-6779,MapQuest,201,3,12/11/2016 22:06,12/11/2016 22:35,37.687485,-122.133484,,,0.01,Accident on I-238 Northbound at Exits 16A 16B I-880.,,Nimitz Fwy S,R,San Leandro,Alameda,CA,94579,US,US/Pacific,KHWD,12/11/2016 21:54,50,,74,30.19,10,ENE,3.5,,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night,0.083364191
A-17658,MapQuest,201,3,11/18/2016 23:52,11/19/2016 0:21,37.912777,-122.066925,,,0.01,Accident on I-680 Northbound at Exit 46 Hillside Ave.,,I-680 N,R,Walnut Creek,Contra Costa,CA,94597,US,US/Pacific,KCCR,11/18/2016 23:53,48.9,,59,29.9,10,Calm,,,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night,0.390759348
A-26952,MapQuest,201,3,8/12/2016 10:35,8/12/2016 11:05,38.210506,-122.147026,,,0,Slow lane blocked due to accident on I-80 Westbound at Exit 39B CA-12.,,I-80 W,R,Fairfield,Solano,CA,94534,US,US/Pacific,KAPC,8/12/2016 10:54,64,,73,30.03,10,SSW,8.1,,Partly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day,0.758273251
A-32437,MapQuest,201,3,3/31/2016 20:49,3/31/2016 21:49,38.117683,-122.564941,,,0,Very slow traffic due to accident on US-101 Redwood Hwy Northbound after Exit 463 Atherton Ave.,1006,Atherton Ave,L,Novato,Marin,CA,94945,US,US/Pacific,KDVO,3/31/2016 20:55,53.6,,77,30.1,10,SSW,11.5,,Clear,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Day,0.090971219
A-14191,MapQuest,201,3,10/31/2016 11:43,10/31/2016 12:42,38.630722,-121.401489,,,0.01,Right hand shoulder blocked due to accident on I-80 Bus Capital City Fwy Southbound before Exits 12 12C Fulton Ave.,,Fulton Ave,R,Sacramento,Sacramento,CA,95821,US,US/Pacific,KMCC,10/31/2016 11:35,60.8,,68,30.11,9,SSW,6.9,,Scattered Clouds,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day,0.968915863
A-18113,MapQuest,201,3,11/22/2016 11:41,11/22/2016 12:11,37.719162,-122.448273,,,0.01,Right hand shoulder blocked due to accident on I-280 Northbound at Geneva Ave.,,John F Foran Fwy,R,San Francisco,San Francisco,CA,94112,US,US/Pacific,KSFO,11/22/2016 11:56,59,,72,30.18,10,ENE,5.8,,Mostly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day,0.975859997
A-10877,MapQuest,201,2,1/12/2017 12:21,1/12/2017 12:50,37.38596,-121.977364,,,0.01,Shoulder blocked on entry ramp due to accident on US-101 Northbound at Exit 393 Great America Pkwy.,,US-101 N,R,Santa Clara,Santa Clara,CA,95054,US,US/Pacific,KSJC,1/12/2017 11:53,50,,74,29.94,10,NNW,9.2,,Overcast,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day,0.133773979
A-10288,MapQuest,201,2,1/8/2017 10:11,1/8/2017 10:41,39.11451,-121.000992,,,0,Accident on Dog Bar Rd both ways at Taylor Crossing Rd.,14401,Taylor Crossing Rd,R,Grass Valley,Nevada,CA,95949-9583,US,US/Pacific,KGOO,1/8/2017 10:15,51.8,,100,29.9,1,South,10.4,,Overcast,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day,0.195177965
